Text,Link,Date
The students of M.S. in Mathematics Prog... Read More,https://www.aust.edu/notice/1230,May 19 2022
The admission interviews of the appliant... Read More,https://www.aust.edu/notice/1229,May 18 2022
The Reception and Orientation Program fo... Read More,https://www.aust.edu/notice/1228,May 18 2022
The students of M.S. in Mathematics Prog... Read More,https://www.aust.edu/notice/1224,May 12 2022
The following candidates have been selec... Read More,https://www.aust.edu/notice/1223,May 11 2022
All the students of Master's Program (Fa... Read More,https://www.aust.edu/notice/1222,May 11 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1221,May 09 2022
ln addition to this Notification No. AUS... Read More,https://www.aust.edu/notice/1218,Apr 28 2022
The following candidates of M.Sc. Progra... Read More,https://www.aust.edu/notice/1217,Apr 27 2022
.... Read More,https://www.aust.edu/notice/1216,Apr 26 2022
Due to unavoidable circumstances the fin... Read More,https://www.aust.edu/notice/1214,Apr 24 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1212,Apr 24 2022
In continuation of the notification no. ... Read More,https://www.aust.edu/notice/1215,Apr 20 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1211,Apr 20 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1207,Apr 19 2022
We have received requests from the facul... Read More,https://www.aust.edu/notice/1206,Apr 19 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1209,Apr 17 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1208,Apr 17 2022
The M. Sc. Engg. and M. Engg. student of... Read More,https://www.aust.edu/notice/1204,Apr 17 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1203,Apr 12 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1202,Apr 12 2022
Sealed quotations are invited from inter... Read More,https://www.aust.edu/notice/1197,Apr 11 2022
In continuation of the notification no. ... Read More,https://www.aust.edu/notice/1201,Apr 10 2022
In continuation of this notification no.... Read More,https://www.aust.edu/notice/1200,Apr 10 2022
.... Read More,https://www.aust.edu/notice/1196,Apr 10 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1193,Mar 31 2022
ln addition to this Notification No. AUS... Read More,https://www.aust.edu/notice/1192,Mar 31 2022
In continuation of the notification no. ... Read More,https://www.aust.edu/notice/1188,Mar 27 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1187,Mar 24 2022
In continuation of this notification no.... Read More,https://www.aust.edu/notice/1186,Mar 24 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1181,Mar 24 2022
In continuation of this notification no.... Read More,https://www.aust.edu/notice/1199,Mar 23 2022
In continuation of this notification no.... Read More,https://www.aust.edu/notice/1185,Mar 23 2022
In continuation off this notification no... Read More,https://www.aust.edu/notice/1184,Mar 23 2022
In continuation of the notification no. ... Read More,https://www.aust.edu/notice/1127,Feb 01 2022
In continuation of this Notification No.... Read More,https://www.aust.edu/notice/1122,Jan 27 2022
It is notified for general information t... Read More,https://www.aust.edu/notice/1119,Jan 24 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1145,Jan 23 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1115,Jan 20 2022
This is for information of all concerned... Read More,https://www.aust.edu/notice/1071,Jan 13 2022
In continuation of the notification no. ... Read More,https://www.aust.edu/notice/1070,Jan 13 2022
To develop the materialization of innova... Read More,https://www.aust.edu/notice/1063,Jan 13 2022
AUST invites tenders from the well-estab... Read More,https://www.aust.edu/notice/1062,Jan 10 2022
In pursuance of the decision of the meet... Read More,https://www.aust.edu/notice/1059,Jan 10 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1058,Jan 09 2022
In continuation to this notification No.... Read More,https://www.aust.edu/notice/1055,Jan 06 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1054,Jan 06 2022
In continuation to this notification No.... Read More,https://www.aust.edu/notice/1052,Jan 06 2022
All the students of MBA & EMBA Programs ... Read More,https://www.aust.edu/notice/1050,Jan 06 2022
It is hereby notified that the students... Read More,https://www.aust.edu/notice/1057,Jan 05 2022
.... Read More,https://www.aust.edu/notice/1056,Jan 05 2022
It is hereby for all information of all ... Read More,https://www.aust.edu/notice/1053,Jan 05 2022
It is hereby for all information of all ... Read More,https://www.aust.edu/notice/1051,Jan 05 2022
The undergraduate students of AUST havin... Read More,https://www.aust.edu/notice/1048,Jan 05 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1047,Jan 05 2022
This is for information of all concerned... Read More,https://www.aust.edu/notice/1042,Jan 04 2022
This is for information that all student... Read More,https://www.aust.edu/notice/1041,Jan 04 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1040,Jan 03 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1039,Jan 03 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1046,Jan 02 2022
In continuation of this notification no.... Read More,https://www.aust.edu/notice/1045,Jan 02 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1044,Jan 02 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1043,Jan 02 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1038,Jan 02 2022
To make students come up with creative t... Read More,https://www.aust.edu/notice/1035,Dec 30 2021
To develop the soft skills of the studen... Read More,https://www.aust.edu/notice/1034,Dec 29 2021
AUST has prepared email addresses for al... Read More,https://www.aust.edu/notice/1032,Dec 27 2021
In continuation of this Notification No... Read More,https://www.aust.edu/notice/1029,Dec 26 2021
Application in prescribed form (availabl... Read More,https://www.aust.edu/notice/1026,Dec 22 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1027,Dec 20 2021
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/530,Dec 12 2020
A reception and orientation program for ... Read More,https://www.aust.edu/notice/527,Dec 09 2020
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/526,Dec 09 2020
Academic Calendar Spring-2020 Semester M... Read More,https://www.aust.edu/notice/524,Dec 07 2020
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/523,Dec 07 2020
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/520,Dec 05 2020
Academic Calendar Spring 2020 (MBA/EMBA)... Read More,https://www.aust.edu/notice/771,Dec 03 2020
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/517,Dec 02 2020
The M.Sc. Engg. and M.Engg. students of ... Read More,https://www.aust.edu/notice/516,Dec 02 2020
It is hereby notified for information of... Read More,https://www.aust.edu/notice/515,Dec 01 2020
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/514,Nov 30 2020
This is for information of all concerned... Read More,https://www.aust.edu/notice/513,Nov 29 2020
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/512,Nov 28 2020
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/511,Nov 25 2020
Academic Calendar Spring 2020... Read More,https://www.aust.edu/notice/769,Nov 24 2020
It is notified for all students that in ... Read More,https://www.aust.edu/notice/510,Nov 24 2020
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/509,Nov 23 2020
It is hereby notified for information of... Read More,https://www.aust.edu/notice/508,Nov 22 2020
It is notified for all the 4/2 and 5/2 s... Read More,https://www.aust.edu/notice/507,Nov 22 2020
It is hereby notified for information of... Read More,https://www.aust.edu/notice/506,Nov 20 2020
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/505,Nov 19 2020
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/504,Nov 17 2020
It is hereby notified for information of... Read More,https://www.aust.edu/notice/503,Nov 16 2020
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/501,Nov 15 2020
All the undergraduate students who regis... Read More,https://www.aust.edu/notice/500,Nov 10 2020
It is hereby notified for information of... Read More,https://www.aust.edu/notice/499,Nov 10 2020
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/498,Nov 10 2020
The Semester Improvement/Clearance/Carry... Read More,https://www.aust.edu/notice/497,Nov 09 2020
The date of application for carry over e... Read More,https://www.aust.edu/notice/496,Nov 08 2020
The following students are requested to ... Read More,https://www.aust.edu/notice/495,Nov 05 2020
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/494,Nov 05 2020
In continuation of this office notificat... Read More,https://www.aust.edu/notice/493,Nov 05 2020
It is hereby notified for information of... Read More,https://www.aust.edu/notice/492,Nov 03 2020
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/490,Nov 02 2020
In partial rectification of the Notifica... Read More,https://www.aust.edu/notice/488,Oct 29 2020
Some seats are lying vacant in different... Read More,https://www.aust.edu/notice/487,Oct 28 2020
In continuation of this notification no.... Read More,https://www.aust.edu/notice/906,Sep 12 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/904,Sep 09 2021
It is hereby notified that the students... Read More,https://www.aust.edu/notice/903,Sep 07 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/902,Sep 06 2021
The following students of AUST are selec... Read More,https://www.aust.edu/notice/899,Sep 06 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/898,Sep 05 2021
This is for information of all concerned... Read More,https://www.aust.edu/notice/896,Sep 02 2021
It is for the information of all concern... Read More,https://www.aust.edu/notice/890,Aug 29 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/886,Aug 26 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/885,Aug 24 2021
1. The undergraduate students of AUST ha... Read More,https://www.aust.edu/notice/884,Aug 24 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/883,Aug 24 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/882,Aug 24 2021
It is notified for all the continuing st... Read More,https://www.aust.edu/notice/880,Aug 24 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/881,Aug 23 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/877,Aug 22 2021
It is hereby notified of all concerned t... Read More,https://www.aust.edu/notice/876,Aug 22 2021
It is hereby notified of all concerned t... Read More,https://www.aust.edu/notice/875,Aug 22 2021
It is hereby notified of all concerned t... Read More,https://www.aust.edu/notice/874,Aug 22 2021
It is hereby notified of all concerned t... Read More,https://www.aust.edu/notice/873,Aug 22 2021
It is hereby notified of all concerned t... Read More,https://www.aust.edu/notice/872,Aug 22 2021
It is hereby notified of all concerned t... Read More,https://www.aust.edu/notice/871,Aug 22 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/869,Aug 18 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/868,Aug 18 2021
All the students of MBA & EMBA Programs ... Read More,https://www.aust.edu/notice/901,Aug 17 2021
Applications in prescribed form (availab... Read More,https://www.aust.edu/notice/865,Aug 16 2021
ln addition to this Notification No. AUS... Read More,https://www.aust.edu/notice/860,Aug 13 2021
This is for information of all concerned... Read More,https://www.aust.edu/notice/862,Aug 12 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/863,Aug 09 2021
... Read More,https://www.aust.edu/notice/861,Aug 09 2021
... Read More,https://www.aust.edu/notice/859,Aug 05 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/858,Jul 28 2021
.... Read More,https://www.aust.edu/notice/857,Jul 28 2021
In partial rectification of the Notifica... Read More,https://www.aust.edu/notice/856,Jul 20 2021
This is for information of all concerned... Read More,https://www.aust.edu/notice/854,Jul 18 2021
In continuation of this Notification no.... Read More,https://www.aust.edu/notice/853,Jul 15 2021
In continuation of this notification no.... Read More,https://www.aust.edu/notice/1025,Dec 14 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1021,Dec 14 2021
... Read More,https://www.aust.edu/notice/1020,Dec 14 2021
Students of AUST have been invited to jo... Read More,https://www.aust.edu/notice/1016,Dec 11 2021
As per the decision of the Admission Com... Read More,https://www.aust.edu/notice/1014,Dec 09 2021
The following students are requested to ... Read More,https://www.aust.edu/notice/1013,Dec 08 2021
The following students are requested to ... Read More,https://www.aust.edu/notice/1012,Dec 08 2021
.... Read More,https://www.aust.edu/notice/1011,Dec 08 2021
It is hereby notifled for information of... Read More,https://www.aust.edu/notice/1010,Dec 06 2021
The students of M.S. in Mathematics Prog... Read More,https://www.aust.edu/notice/1008,Dec 02 2021
Students are strongly adviced to weare f... Read More,https://www.aust.edu/notice/1007,Dec 01 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1006,Dec 01 2021
It is notified that in response to the a... Read More,https://www.aust.edu/notice/1004,Nov 30 2021
In continuation of this office notificat... Read More,https://www.aust.edu/notice/1018,Nov 28 2021
ln addition to this Notification No. AUS... Read More,https://www.aust.edu/notice/1002,Nov 25 2021
.... Read More,https://www.aust.edu/notice/1001,Nov 25 2021
This is for the information of all conce... Read More,https://www.aust.edu/notice/1000,Nov 25 2021
In continuation of this notification No.... Read More,https://www.aust.edu/notice/998,Nov 25 2021
Students must enter into the university ... Read More,https://www.aust.edu/notice/996,Nov 24 2021
A reception and orientation program for ... Read More,https://www.aust.edu/notice/995,Nov 23 2021
The admission interviews of the applican... Read More,https://www.aust.edu/notice/990,Nov 21 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/989,Nov 21 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/988,Nov 18 2021
ln addition to this Notification No. AUS... Read More,https://www.aust.edu/notice/986,Nov 17 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/985,Nov 17 2021
Sealed quotations are invited from inter... Read More,https://www.aust.edu/notice/984,Nov 17 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/982,Nov 16 2021
In partial modification of the Notificat... Read More,https://www.aust.edu/notice/981,Nov 16 2021
Please spend sufficient time to read all... Read More,https://www.aust.edu/notice/980,Nov 15 2021
The Online Semester Carryover/Clearance/... Read More,https://www.aust.edu/notice/979,Nov 15 2021
The semester Carryover/Clearance/Improve... Read More,https://www.aust.edu/notice/978,Nov 15 2021
This is for information of all concerned... Read More,https://www.aust.edu/notice/977,Nov 15 2021
In light of the discussion in the 24th m... Read More,https://www.aust.edu/notice/975,Nov 15 2021
The Institutional Quality Assurance Cell... Read More,https://www.aust.edu/notice/972,Nov 15 2021
All the students of Master’s Program (... Read More,https://www.aust.edu/notice/974,Nov 14 2021
The following candidates have been selec... Read More,https://www.aust.edu/notice/973,Nov 14 2021
Sealed bids are invited from well-establ... Read More,https://www.aust.edu/notice/969,Nov 11 2021
The following candidates for admission t... Read More,https://www.aust.edu/notice/967,Nov 09 2021
The M.Sc. Engg. and M.Engg. students of ... Read More,https://www.aust.edu/notice/965,Nov 08 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/962,Nov 04 2021
'Ihe following students are requested to... Read More,https://www.aust.edu/notice/955,Oct 26 2021
With reference to the above subject and ... Read More,https://www.aust.edu/notice/953,Oct 21 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/950,Oct 18 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/949,Oct 18 2021
The Online Semester Final Examination of... Read More,https://www.aust.edu/notice/948,Oct 17 2021
Please spend sufficient time to read all... Read More,https://www.aust.edu/notice/947,Oct 17 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/946,Oct 17 2021
উচ্চশিক্ষা প্র... Read More,https://www.aust.edu/notice/941,Oct 13 2021
With reference to the above subject and ... Read More,https://www.aust.edu/notice/939,Oct 13 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/940,Oct 12 2021
.... Read More,https://www.aust.edu/notice/936,Oct 11 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/938,Oct 10 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/935,Oct 10 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/934,Oct 10 2021
It is being informed for all concerned t... Read More,https://www.aust.edu/notice/933,Oct 10 2021
The virtual Viva-voce for the intern/pro... Read More,https://www.aust.edu/notice/932,Oct 10 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/929,Sep 30 2021
In continuation of this notification no.... Read More,https://www.aust.edu/notice/928,Sep 29 2021
In continuation of this notification no.... Read More,https://www.aust.edu/notice/927,Sep 28 2021
In continuation of this notification no.... Read More,https://www.aust.edu/notice/924,Sep 28 2021
.... Read More,https://www.aust.edu/notice/922,Sep 28 2021
In continuation of this notification no.... Read More,https://www.aust.edu/notice/926,Sep 27 2021
With reference to the above subject and ... Read More,https://www.aust.edu/notice/921,Sep 26 2021
In continuation of this notification no.... Read More,https://www.aust.edu/notice/925,Sep 23 2021
.... Read More,https://www.aust.edu/notice/919,Sep 19 2021
.... Read More,https://www.aust.edu/notice/917,Sep 16 2021
AUST wants to sell one old used car Toy... Read More,https://www.aust.edu/notice/915,Sep 16 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/914,Sep 16 2021
This is notified for all concerned that ... Read More,https://www.aust.edu/notice/918,Sep 15 2021
In continuation of this notification no.... Read More,https://www.aust.edu/notice/913,Sep 14 2021
lt is hereby notified for information of... Read More,https://www.aust.edu/notice/910,Sep 14 2021
In continuation of this notification no.... Read More,https://www.aust.edu/notice/907,Sep 12 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1405,Oct 10 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1404,Oct 03 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1397,Sep 29 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1396,Sep 29 2022
The Committee for Advanced Studies and R... Read More,https://www.aust.edu/notice/1393,Sep 26 2022
.... Read More,https://www.aust.edu/notice/1392,Sep 26 2022
.... Read More,https://www.aust.edu/notice/1386,Sep 20 2022
Tender is invited from the intending sup... Read More,https://www.aust.edu/notice/1379,Sep 18 2022
According to the decision of the meeting... Read More,https://www.aust.edu/notice/1374,Sep 08 2022
A farewell program for outgoing students... Read More,https://www.aust.edu/notice/1373,Sep 06 2022
This is for information of all Studcnts... Read More,https://www.aust.edu/notice/1372,Sep 06 2022
.... Read More,https://www.aust.edu/notice/1371,Sep 06 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1368,Sep 04 2022
Committee for Advanced Studies and Resea... Read More,https://www.aust.edu/notice/1361,Aug 30 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1365,Aug 29 2022
In continuation of this notification no.... Read More,https://www.aust.edu/notice/1357,Aug 25 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1351,Aug 17 2022
lt is hereby notified for information of... Read More,https://www.aust.edu/notice/1350,Aug 17 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1349,Aug 17 2022
... Read More,https://www.aust.edu/notice/1343,Aug 11 2022
It is hereby notificd for information of... Read More,https://www.aust.edu/notice/1342,Aug 10 2022
এতদ্বারা সকলের... Read More,https://www.aust.edu/notice/1341,Aug 10 2022
In continuation of the Notification No. ... Read More,https://www.aust.edu/notice/1340,Aug 10 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1338,Aug 07 2022
Students of MBA & EMBA Programs are here... Read More,https://www.aust.edu/notice/1335,Aug 04 2022
Students who want to appear at Improveme... Read More,https://www.aust.edu/notice/1334,Aug 04 2022
To inspire students and others to develo... Read More,https://www.aust.edu/notice/1333,Aug 04 2022
আহ্ছানউল্লা বি... Read More,https://www.aust.edu/notice/1331,Aug 04 2022
এতদ্বারা সকলের... Read More,https://www.aust.edu/notice/1330,Aug 04 2022
এতদ্বারা সকলের... Read More,https://www.aust.edu/notice/1329,Aug 04 2022
In continuation of the Notification No. ... Read More,https://www.aust.edu/notice/1328,Aug 03 2022
The internship of MBA & EMBA students ha... Read More,https://www.aust.edu/notice/1326,Aug 02 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1325,Aug 01 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1324,Aug 01 2022
Sealed bids are invited from well-establ... Read More,https://www.aust.edu/notice/1323,Aug 01 2022
.... Read More,https://www.aust.edu/notice/1321,Jul 31 2022
This is for information of all concerned... Read More,https://www.aust.edu/notice/851,Jul 11 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/850,Jul 06 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/849,Jul 06 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/848,Jul 05 2021
.... Read More,https://www.aust.edu/notice/846,Jul 04 2021
The admission interviews of the applican... Read More,https://www.aust.edu/notice/844,Jun 30 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/843,Jun 30 2021
In pursuance of the decision of the 21't... Read More,https://www.aust.edu/notice/842,Jun 30 2021
... Read More,https://www.aust.edu/notice/833,Jun 28 2021
This is for information of all concerned... Read More,https://www.aust.edu/notice/840,Jun 27 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/839,Jun 27 2021
The following students are requested to ... Read More,https://www.aust.edu/notice/838,Jun 27 2021
This is for information of all concerned... Read More,https://www.aust.edu/notice/834,Jun 23 2021
In continuation of this Notification no.... Read More,https://www.aust.edu/notice/831,Jun 22 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/827,Jun 21 2021
AUST has prepared email addresses for al... Read More,https://www.aust.edu/notice/825,Jun 16 2021
The following applicants are selected fo... Read More,https://www.aust.edu/notice/823,Jun 15 2021
A reception and orientation program for ... Read More,https://www.aust.edu/notice/822,Jun 14 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/821,Jun 13 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/819,Jun 12 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/818,Jun 12 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/816,Jun 11 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/815,Jun 10 2021
It is hereby notified for information of... Read More,https://www.aust.edu/notice/814,Jun 10 2021
The M.Sc. Engg. and M.Engg. students of ... Read More,https://www.aust.edu/notice/813,Jun 06 2021
